column,ecab_or_category,description,source,role_in_analysis,observed_cells_pre_interpolation,observed_share_pre_interpolation,legacy_placeholder_cells,non_null_cells_analysis_file,provenance_note
country,Identifier,ISO 3166-1 alpha-3 country code,—,Panel key,528,100.00%,0,528,
year,Identifier,"Calendar year, 2012–2023",—,Panel key,528,100.00%,0,528,
sci_literacy,Cognition,"PISA science literacy, mean national score",OECD PISA,Treatment variable,162,30.68%,0,528,
sci_trust,Attitude,"Confidence in science, national share (WVS)",World Values Survey W6/W7,Predictor — construct diagnostic only,33,6.25%,108,384,108 of the non-null cells are legacy placeholder values in 9 countries; see note P1
tech_acceptance,Attitude,"Technology optimism, national share (WVS)",World Values Survey W6/W7,Predictor — construct diagnostic only,33,6.25%,108,384,108 of the non-null cells are legacy placeholder values in 9 countries; see note P1
relative_salary,Reward level,Professional wage ratio relative to the national mean,ILOSTAT,Predictor,463,87.69%,0,516,Full 12-year coverage in 14 of the 18 legacy countries could not be separated into source-derived and placeholder cells from the released files; see note P3
rd_budget_per_researcher,Reward level,"R&D resources per researcher, derived from R&D/GDP, GDP and researcher density",Derived in preprocessor.py,Predictor,440,83.33%,0,492,Full 12-year coverage in 14 of the 18 legacy countries could not be separated into source-derived and placeholder cells from the released files; see note P3
innovation_score,Outcome,Global Innovation Index composite score (0–100),WIPO GII,Contamination-bearing benchmark outcome,528,100.00%,0,528,
rd_gdp_pct,Physical scale,Gross domestic R&D expenditure as a share of GDP (%),World Bank Open Data (WDI),Control (confounder),496,93.94%,0,528,
researchers_per_m,Physical scale,Researchers in R&D per million population,World Bank Open Data (WDI),Mediator — excluded from primary control set,440,83.33%,0,492,
patent_apps,Physical scale,"Patent applications, residents",World Bank Open Data (WDI),Predictor and outcome numerator,427,80.87%,0,528,
journal_articles,Physical scale,Scientific and technical journal articles,World Bank Open Data (WDI),Predictor and outcome numerator,473,89.58%,0,516,
gdp_per_capita,Physical scale,"GDP per capita, current US$",World Bank Open Data (WDI),Control (confounder),528,100.00%,0,528,
gov_edu_exp_pct,Operational structure,Government expenditure on education as a share of GDP (%),World Bank Open Data (WDI),Predictor,451,85.42%,0,528,
internet_users_pct,Operational structure,Individuals using the internet (% of population),World Bank Open Data (WDI),Predictor,528,100.00%,0,528,
hi_tech_export_pct,Reward level,High-technology exports as a share of manufactured exports (%),World Bank Open Data (WDI),Predictor,526,99.62%,0,528,
tertiary_enroll,Cognition,Gross tertiary enrolment ratio (%),World Bank Open Data (WDI),Predictor,490,92.80%,0,528,
mobile_subs_per100,Operational structure,Mobile cellular subscriptions per 100 people,World Bank Open Data (WDI),Predictor,528,100.00%,0,528,
